"senderDFSP","senderName","senderUserNumber","senderAccountId","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverUserNumber","receiverAccountId","receiverRoleType","receiverUUID"
"dfsp1","cust170604-1-01","PT170604-1-01","22579596","customer","422d1715-7ae2-4b56-b2ca-d4ae51e1c651","dfsp2","cust170604-1-02","PT170604-1-02","92751135","customer","0ed555ab-6069-44b4-a30c-ccca2e546167"
"dfsp2","cust170604-1-02","PT170604-1-02","92751135","customer","c77e592e-63d0-45b0-ad07-9522f88b51fe","dfsp1","cust170604-1-01","PT170604-1-01","22579596","customer","db9e751c-c411-493f-9bec-cfb3ddc0e8df"
"dfsp1","cust170604-1-11","PT170604-1-11","49037780","customer","3fc30540-574d-4b97-adbf-e189b152f9f6","dfsp2","cust170604-1-12","PT170604-1-12","17232036","customer","0e282700-e84b-4c96-8a44-e29392e5dc67"
"dfsp2","cust170604-1-12","PT170604-1-12","17232036","customer","66ba68c7-b29f-4bfe-a0bb-299f99ce87e3","dfsp1","cust170604-1-11","PT170604-1-11","49037780","customer","6a797b54-58e6-4f9e-939e-1abb347f404c"
"dfsp1","cust170604-1-21","PT170604-1-21","21323520","customer","4d126484-c154-47c1-89ea-e478e9f83ad0","dfsp2","cust170604-1-22","PT170604-1-22","42293865","customer","fed14044-3d9b-4ea3-9392-9b61e6ad323c"
"dfsp2","cust170604-1-22","PT170604-1-22","42293865","customer","d3f65ca6-143b-4107-be48-f8482cf2df6e","dfsp1","cust170604-1-21","PT170604-1-21","21323520","customer","768c728f-be15-4de2-93ff-9be6d677d47b"
"dfsp1","cust170604-1-31","PT170604-1-31","20810082","customer","4640a1f6-657a-467b-ab79-a99294594deb","dfsp2","cust170604-1-32","PT170604-1-32","63006532","customer","1ecced88-9955-470c-99d5-dcf7303b3e6c"
"dfsp2","cust170604-1-32","PT170604-1-32","63006532","customer","7de6352e-3f63-453c-b8a8-60ad40d6879f","dfsp1","cust170604-1-31","PT170604-1-31","20810082","customer","1b3abcbb-3682-481e-ae95-62f880c79517"
"dfsp1","cust170604-1-41","PT170604-1-41","80025198","customer","e717e602-a0a8-4ea2-9780-cf38779f301a","dfsp2","cust170604-1-42","PT170604-1-42","63507799","customer","a7c7099e-bf28-4db5-9ff8-38131d5b5c50"
"dfsp2","cust170604-1-42","PT170604-1-42","63507799","customer","741b294d-15ac-4c58-a5d6-b15d2462f02c","dfsp1","cust170604-1-41","PT170604-1-41","80025198","customer","a2fef746-c3f7-4928-a214-3a36c6f7102b"
"dfsp1","cust170604-1-51","PT170604-1-51","57281593","customer","40b8139b-28b6-4922-b62f-d80fa0a7fe14","dfsp2","cust170604-1-52","PT170604-1-52","45062689","customer","856a4721-2bd7-4956-8823-1e5e1a4e4bf7"
"dfsp2","cust170604-1-52","PT170604-1-52","45062689","customer","6b55e3db-10bb-4c96-b8f1-9dbe30c9babb","dfsp1","cust170604-1-51","PT170604-1-51","57281593","customer","418a8c21-7058-4dd6-8550-094ee51d7a39"
"dfsp1","cust170604-1-61","PT170604-1-61","96977508","customer","0d40af92-f4e8-4542-9d44-17e29b846618","dfsp2","cust170604-1-62","PT170604-1-62","25339410","customer","2fad96f8-faa8-4043-8179-9535a04f147b"
"dfsp2","cust170604-1-62","PT170604-1-62","25339410","customer","9b31482b-372c-49c9-a858-1203bb525358","dfsp1","cust170604-1-61","PT170604-1-61","96977508","customer","4a37f382-cfe8-45b3-83e4-ab27ec745b7e"
"dfsp1","cust170604-1-71","PT170604-1-71","85015086","customer","da6c44a2-94b5-4ddd-8215-4ee5efdecd7a","dfsp2","cust170604-1-72","PT170604-1-72","55371187","customer","e77bde05-0bb7-4b66-98c6-b206e599feb6"
"dfsp2","cust170604-1-72","PT170604-1-72","55371187","customer","0886b066-d7c1-4567-9563-c1e6ac8c9f84","dfsp1","cust170604-1-71","PT170604-1-71","85015086","customer","f5b6f132-35e7-48ca-9717-5376e2760588"
"dfsp1","cust170604-1-81","PT170604-1-81","20540142","customer","053fbeef-a922-4b6e-987b-536faebe456c","dfsp2","cust170604-1-82","PT170604-1-82","33276728","customer","a2317da9-cffa-46a3-8a73-bad952704cf5"
"dfsp2","cust170604-1-82","PT170604-1-82","33276728","customer","fac2e9ab-3131-4d75-af91-83d08242f681","dfsp1","cust170604-1-81","PT170604-1-81","20540142","customer","0e523aff-8a63-4c1f-a570-a90ea3e2fbe6"
"dfsp1","cust170604-1-91","PT170604-1-91","74507855","customer","8a24dcd9-3cee-458e-9ebb-1affc0ee4a07","dfsp2","cust170604-1-92","PT170604-1-92","07378650","customer","1a0c9f58-05f3-46f5-92dc-8ebd1be8c2f3"
"dfsp2","cust170604-1-92","PT170604-1-92","07378650","customer","edb18299-b763-40e4-98a8-24d87843712d","dfsp1","cust170604-1-91","PT170604-1-91","74507855","customer","2d73436c-fa93-4f5e-a661-5ce6e67841fa"
"dfsp1","cust170604-1-101","PT170604-1-101","98933704","customer","7645c9ad-4ea6-4aa6-8602-8da76493111b","dfsp2","cust170604-1-102","PT170604-1-102","05276054","customer","db9870a0-8aa3-4ea7-a1f5-493eb73692a1"
"dfsp2","cust170604-1-102","PT170604-1-102","05276054","customer","eafd7599-6aa3-45d1-99f8-92666f14cb79","dfsp1","cust170604-1-101","PT170604-1-101","98933704","customer","c82478dd-3f9f-48c9-8edd-25fc56971cae"
"dfsp1","cust170604-1-111","PT170604-1-111","04206232","customer","834d2bbb-e38d-4aab-93c5-508ec44bebe8","dfsp2","cust170604-1-112","PT170604-1-112","40981901","customer","b25ad3ef-40b3-4e11-b3d3-cd8e72ad1eae"
