senderDFSP,senderName,senderUserNumber,senderAccountId,senderRoleType,senderUUID,receiverDFSP,receiverName,receiverUserNumber,receiverAccountId,receiverRoleType,receiverUUID
dfsp1,cust170604-1-01,PT170604-1-01,22579596,customer,422d1715-7ae2-4b56-b2ca-d4ae51e1c651,dfsp2,cust170604-1-02,PT170604-1-02,92751135,customer,0ed555ab-6069-44b4-a30c-ccca2e546167
dfsp1,cust170604-1-11,PT170604-1-11,49037780,customer,3fc30540-574d-4b97-adbf-e189b152f9f6,dfsp2,cust170604-1-12,PT170604-1-12,17232036,customer,0e282700-e84b-4c96-8a44-e29392e5dc67
dfsp1,cust170604-1-21,PT170604-1-21,21323520,customer,4d126484-c154-47c1-89ea-e478e9f83ad0,dfsp2,cust170604-1-22,PT170604-1-22,42293865,customer,fed14044-3d9b-4ea3-9392-9b61e6ad323c
dfsp1,cust170604-1-31,PT170604-1-31,20810082,customer,4640a1f6-657a-467b-ab79-a99294594deb,dfsp2,cust170604-1-32,PT170604-1-32,63006532,customer,1ecced88-9955-470c-99d5-dcf7303b3e6c
dfsp1,cust170604-1-41,PT170604-1-41,80025198,customer,e717e602-a0a8-4ea2-9780-cf38779f301a,dfsp2,cust170604-1-42,PT170604-1-42,63507799,customer,a7c7099e-bf28-4db5-9ff8-38131d5b5c50
dfsp1,cust170604-1-51,PT170604-1-51,57281593,customer,40b8139b-28b6-4922-b62f-d80fa0a7fe14,dfsp2,cust170604-1-52,PT170604-1-52,45062689,customer,856a4721-2bd7-4956-8823-1e5e1a4e4bf7
dfsp1,cust170604-1-61,PT170604-1-61,96977508,customer,0d40af92-f4e8-4542-9d44-17e29b846618,dfsp2,cust170604-1-62,PT170604-1-62,25339410,customer,2fad96f8-faa8-4043-8179-9535a04f147b
dfsp1,cust170604-1-71,PT170604-1-71,85015086,customer,da6c44a2-94b5-4ddd-8215-4ee5efdecd7a,dfsp2,cust170604-1-72,PT170604-1-72,55371187,customer,e77bde05-0bb7-4b66-98c6-b206e599feb6
dfsp1,cust170604-1-81,PT170604-1-81,20540142,customer,053fbeef-a922-4b6e-987b-536faebe456c,dfsp2,cust170604-1-82,PT170604-1-82,33276728,customer,a2317da9-cffa-46a3-8a73-bad952704cf5
dfsp1,cust170604-1-91,PT170604-1-91,74507855,customer,8a24dcd9-3cee-458e-9ebb-1affc0ee4a07,dfsp2,cust170604-1-92,PT170604-1-92,7378650,customer,1a0c9f58-05f3-46f5-92dc-8ebd1be8c2f3
dfsp1,cust170604-1-101,PT170604-1-101,98933704,customer,7645c9ad-4ea6-4aa6-8602-8da76493111b,dfsp2,cust170604-1-102,PT170604-1-102,5276054,customer,db9870a0-8aa3-4ea7-a1f5-493eb73692a1
dfsp1,cust170604-1-111,PT170604-1-111,4206232,customer,834d2bbb-e38d-4aab-93c5-508ec44bebe8,dfsp2,cust170604-1-112,PT170604-1-112,40981901,customer,b25ad3ef-40b3-4e11-b3d3-cd8e72ad1eae
dfsp1,cust170604-1-121,PT170604-1-121,95640514,customer,22d37c6c-66d4-43b8-9aa2-a539a440596e,dfsp2,cust170604-1-122,PT170604-1-122,74473733,customer,55500a07-b27f-4026-aaa6-6b738143c4de
dfsp1,cust170604-1-131,PT170604-1-131,957634,customer,e609474f-c1e2-4c3e-a9b0-8c1dd8bd9ee8,dfsp2,cust170604-1-132,PT170604-1-132,90736748,customer,b1304ad4-6703-4bb3-b293-d6dad2e7faee
