senderDFSP,senderName,senderUserNumber,senderAccountId,senderRoleType,senderUUID,receiverDFSP,receiverName,receiverUserNumber,receiverAccountId,receiverRoleType,receiverUUID
dfsp1,cust170524-16-01,PT170524-16-01,35769973,customer,529d205d-67ce-4bf6-b668-6fcefa957e3b,dfsp2,cust170524-16-02,PT170524-16-02,81855786,customer,167053d4-fe1d-4c78-a93b-0498862925fb
dfsp2,cust170524-16-02,PT170524-16-02,81855786,customer,a17a3072-5258-4835-b76e-aa9892f084b0,dfsp1,cust170524-16-01,PT170524-16-01,35769973,customer,661edf82-7923-449e-8462-f20486eb4abd
dfsp1,cust170524-16-11,PT170524-16-11,13972689,customer,22f199ab-1a19-4e4f-8acb-8719e8f6cb28,dfsp2,cust170524-16-12,PT170524-16-12,83953197,customer,0624c81b-3019-4476-872a-d3e3898a29d5
dfsp2,cust170524-16-12,PT170524-16-12,83953197,customer,f1b62552-e256-4da9-afdb-fc127af160c0,dfsp1,cust170524-16-11,PT170524-16-11,13972689,customer,870d3cfb-f0ea-4a04-a4a3-0f50e0e54a0d
dfsp1,cust170524-16-21,PT170524-16-21,87528787,customer,214df026-afb8-4110-8e3b-f34a5b01e855,dfsp2,cust170524-16-22,PT170524-16-22,30422794,customer,4d11906c-83a2-44fb-afe9-b575f73e245d
dfsp2,cust170524-16-22,PT170524-16-22,30422794,customer,b09d9c5f-8eb3-4ff7-9180-ba41373e97e2,dfsp1,cust170524-16-21,PT170524-16-21,87528787,customer,80801242-5046-48a4-9eaa-0ac9f693956c
dfsp1,cust170524-16-31,PT170524-16-31,32127424,customer,77924766-0b1c-47f2-8dde-4f42b4150f66,dfsp2,cust170524-16-32,PT170524-16-32,11761873,customer,df864e15-400f-4d15-9e91-2f882a036cc3
dfsp2,cust170524-16-32,PT170524-16-32,11761873,customer,d9e475b8-ad85-4d9a-8a78-70e07312ea8d,dfsp1,cust170524-16-31,PT170524-16-31,32127424,customer,7774c31c-439a-417b-a75f-e091fba9949e
dfsp1,cust170524-16-41,PT170524-16-41,6953133,customer,d2feba45-c5b5-4e6f-9699-425fdfaeedd5,dfsp2,cust170524-16-42,PT170524-16-42,30145134,customer,924c9124-ef0c-4212-8bfd-66e432db8002
dfsp2,cust170524-16-42,PT170524-16-42,30145134,customer,38912e8e-2eca-46a6-8722-526326bc54d9,dfsp1,cust170524-16-41,PT170524-16-41,6953133,customer,e49dd8a9-a1dc-4474-a1cc-2d007216c950
dfsp1,cust170524-16-51,PT170524-16-51,86319574,customer,d9bebc86-124c-4c14-b3bb-870fc09d8b54,dfsp2,cust170524-16-52,PT170524-16-52,54615145,customer,fb170497-d6c6-46ca-baf2-20d29c0621b3
dfsp2,cust170524-16-52,PT170524-16-52,54615145,customer,617ee32b-fc10-43d0-b78e-eaae8157c601,dfsp1,cust170524-16-51,PT170524-16-51,86319574,customer,d5b801ef-eec0-4c50-b36f-0617f3f2fe36
dfsp1,cust170524-16-61,PT170524-16-61,43394155,customer,73450bef-2a74-4646-a89d-ea5fca2374f8,dfsp2,cust170524-16-62,PT170524-16-62,98798048,customer,5f1535de-ce38-478e-8c53-9836165064d9
dfsp2,cust170524-16-62,PT170524-16-62,98798048,customer,8ea83d58-4da7-4a78-b8a8-dfacfe0aed73,dfsp1,cust170524-16-61,PT170524-16-61,43394155,customer,4009ef47-622a-4887-975f-112dfe5f318b
dfsp1,cust170524-16-71,PT170524-16-71,2387279,customer,8caed790-380c-4442-ba5c-4aa941504fc8,dfsp2,cust170524-16-72,PT170524-16-72,48089687,customer,216defe3-4180-4734-af32-1401d5a73d5e
dfsp2,cust170524-16-72,PT170524-16-72,48089687,customer,11121a57-b8f5-4511-affd-893c644eb34c,dfsp1,cust170524-16-71,PT170524-16-71,2387279,customer,7bd31756-6880-47d7-8cd8-26abe1d6ccf4
dfsp1,cust170524-16-81,PT170524-16-81,17395119,customer,19b44983-9a24-4b1e-aaa4-a3aa89b8a641,dfsp2,cust170524-16-82,PT170524-16-82,92778124,customer,83d5071e-4329-44fa-9232-e25a0c818568
dfsp2,cust170524-16-82,PT170524-16-82,92778124,customer,fab0fdaa-9af0-481d-a0e7-02e277a05442,dfsp1,cust170524-16-81,PT170524-16-81,17395119,customer,c3493a21-8675-4a28-8c05-13bf47fea12c
dfsp1,cust170524-16-91,PT170524-16-91,92832255,customer,73de1744-ba49-4035-89ee-574f25a55f42,dfsp2,cust170524-16-92,PT170524-16-92,51270535,customer,c7c82a35-364d-490a-81a9-cbd5c362be8b
dfsp2,cust170524-16-92,PT170524-16-92,51270535,customer,21e489bf-65f4-4960-81da-27f27865a78c,dfsp1,cust170524-16-91,PT170524-16-91,92832255,customer,4b640060-dafd-4005-870d-2eb31a3e447e
dfsp1,cust170524-16-101,PT170524-16-101,24674094,customer,5ae4e7d2-3eea-4249-aca0-9c80790b0579,dfsp2,cust170524-16-102,PT170524-16-102,54270426,customer,3d95d59a-506f-4ffa-ad6b-a75229511690
dfsp2,cust170524-16-102,PT170524-16-102,54270426,customer,6b4c5e63-3cd0-4f8a-841b-aaa47d4c39db,dfsp1,cust170524-16-101,PT170524-16-101,24674094,customer,0525000f-e50d-4b0d-9fe3-94c95619708e
dfsp1,cust170524-16-111,PT170524-16-111,53601184,customer,2c3c148e-2b18-4b4f-9af8-cef9fc6a3639,dfsp2,cust170524-16-112,PT170524-16-112,46202556,customer,009b1871-bf25-43eb-95e9-739345e0fbf5
dfsp2,cust170524-16-112,PT170524-16-112,46202556,customer,0c4d5fa0-05af-435c-8663-b0841acee6ae,dfsp1,cust170524-16-111,PT170524-16-111,53601184,customer,70c7849e-5d27-415b-9da3-d3617446c904
dfsp1,cust170524-16-121,PT170524-16-121,94672970,customer,68f189e3-0cd4-4a64-bb2f-c0bd5d411572,dfsp2,cust170524-16-122,PT170524-16-122,76460975,customer,5ad81c2f-d142-412b-9204-c9b0711d0c55
dfsp2,cust170524-16-122,PT170524-16-122,76460975,customer,40697aed-4c3f-4af6-8b41-e90b1e500beb,dfsp1,cust170524-16-121,PT170524-16-121,94672970,customer,93843926-3fe1-4e6e-9c0c-dc16d2341545
dfsp1,cust170524-16-131,PT170524-16-131,38769551,customer,7f53d9d7-bdb9-4fc1-ae7d-07e9eed377c0,dfsp2,cust170524-16-132,PT170524-16-132,32883521,customer,354cff1c-81e9-4d6e-8fbf-c7a49a94f26c
dfsp2,cust170524-16-132,PT170524-16-132,32883521,customer,e6d52dc4-bc76-4f8a-b7bc-6bbc9a0bfd64,dfsp1,cust170524-16-131,PT170524-16-131,38769551,customer,2fcf8152-c468-40b2-837a-0c496b3f5d0b
dfsp1,cust170524-16-141,PT170524-16-141,47994673,customer,264c7fde-f819-4c6c-96ae-ca2564b3f361,dfsp2,cust170524-16-142,PT170524-16-142,32398033,customer,3c7d60b0-61f1-4a81-95b7-975c74019025
dfsp2,cust170524-16-142,PT170524-16-142,32398033,customer,0138bf91-0b59-437b-be4a-5c1ec55f2112,dfsp1,cust170524-16-141,PT170524-16-141,47994673,customer,b57efea6-3c80-47c8-9edb-1b8388e7c613
dfsp1,cust170524-16-151,PT170524-16-151,28405098,customer,fcaab40e-c8ab-4bcd-8cc9-cea218a16d2b,dfsp2,cust170524-16-152,PT170524-16-152,39484056,customer,9f6b3e78-0d5a-42b3-a731-31232d5c9d09
dfsp2,cust170524-16-152,PT170524-16-152,39484056,customer,0b5729a9-49c2-482c-b04e-51991c00083e,dfsp1,cust170524-16-151,PT170524-16-151,28405098,customer,a8b3eea2-cacc-44b3-90a4-1420fdcd6899
dfsp1,cust170524-16-161,PT170524-16-161,10265453,customer,c24e4e1a-77d5-46bb-bd6b-ef69ecaa8f4c,dfsp2,cust170524-16-162,PT170524-16-162,84709146,customer,348621cc-f3fc-4538-a7f7-1cd411add5f2
dfsp2,cust170524-16-162,PT170524-16-162,84709146,customer,0f88e60c-2f63-4492-9ccf-ce2129da004b,dfsp1,cust170524-16-161,PT170524-16-161,10265453,customer,bd2bb5a7-f765-4dce-bd21-d955d82ed17c
dfsp1,cust170524-16-171,PT170524-16-171,71121411,customer,246e2111-129d-43fe-92f7-2e054aa9ee29,dfsp2,cust170524-16-172,PT170524-16-172,77153978,customer,3b81c71e-0533-4b91-a7da-38004e87796e
dfsp2,cust170524-16-172,PT170524-16-172,77153978,customer,761be335-5804-4dc9-ae11-7215f633185a,dfsp1,cust170524-16-171,PT170524-16-171,71121411,customer,c784bb23-ee14-46db-b4bc-f448fc10de65
dfsp1,cust170524-16-181,PT170524-16-181,44806504,customer,c566de02-ee2f-4135-a6c2-8af373e36368,dfsp2,cust170524-16-182,PT170524-16-182,97925262,customer,30177b6e-2199-4384-a9e1-7951ddfb1ab5
dfsp2,cust170524-16-182,PT170524-16-182,97925262,customer,39adbd2f-523c-49ee-9787-b956f57c225a,dfsp1,cust170524-16-181,PT170524-16-181,44806504,customer,176596ea-d3de-49fb-b088-e76248a07a59
