"senderDFSP","senderName","senderUserNumber","senderAccountId","senderRoleType","receiverDFSP","receiverName","receiverUserNumber","receiverAccountId","receiverRoleType"
"dfsp1","cust170519-8-01","PT170519-8-01","17909278","customer","dfsp2","cust170519-8-02","PT170519-8-02","93165657","customer"
"dfsp2","cust170519-8-02","PT170519-8-02","93165657","customer","dfsp1","cust170519-8-01","PT170519-8-01","17909278","customer"
"dfsp1","cust170519-8-11","PT170519-8-11","21833713","customer","dfsp2","cust170519-8-12","PT170519-8-12","84427748","customer"
"dfsp2","cust170519-8-12","PT170519-8-12","84427748","customer","dfsp1","cust170519-8-11","PT170519-8-11","21833713","customer"
"dfsp1","cust170519-8-21","PT170519-8-21","38650238","customer","dfsp2","cust170519-8-22","PT170519-8-22","75756631","customer"
"dfsp2","cust170519-8-22","PT170519-8-22","75756631","customer","dfsp1","cust170519-8-21","PT170519-8-21","38650238","customer"
"dfsp1","cust170519-8-31","PT170519-8-31","31104771","customer","dfsp2","cust170519-8-32","PT170519-8-32","33646849","customer"
"dfsp2","cust170519-8-32","PT170519-8-32","33646849","customer","dfsp1","cust170519-8-31","PT170519-8-31","31104771","customer"
"dfsp1","cust170519-8-41","PT170519-8-41","60487224","customer","dfsp2","cust170519-8-42","PT170519-8-42","58882364","customer"
"dfsp2","cust170519-8-42","PT170519-8-42","58882364","customer","dfsp1","cust170519-8-41","PT170519-8-41","60487224","customer"
"dfsp1","cust170519-8-51","PT170519-8-51","46870977","customer","dfsp2","cust170519-8-52","PT170519-8-52","64487426","customer"
"dfsp2","cust170519-8-52","PT170519-8-52","64487426","customer","dfsp1","cust170519-8-51","PT170519-8-51","46870977","customer"
"dfsp1","cust170519-8-61","PT170519-8-61","82133457","customer","dfsp2","cust170519-8-62","PT170519-8-62","37014304","customer"
"dfsp2","cust170519-8-62","PT170519-8-62","37014304","customer","dfsp1","cust170519-8-61","PT170519-8-61","82133457","customer"
"dfsp1","cust170519-8-71","PT170519-8-71","40021679","customer","dfsp2","cust170519-8-72","PT170519-8-72","56098152","customer"
"dfsp2","cust170519-8-72","PT170519-8-72","56098152","customer","dfsp1","cust170519-8-71","PT170519-8-71","40021679","customer"
"dfsp1","cust170519-8-81","PT170519-8-81","20918685","customer","dfsp2","cust170519-8-82","PT170519-8-82","94955912","customer"
"dfsp2","cust170519-8-82","PT170519-8-82","94955912","customer","dfsp1","cust170519-8-81","PT170519-8-81","20918685","customer"
"dfsp1","cust170519-8-91","PT170519-8-91","24045960","customer","dfsp2","cust170519-8-92","PT170519-8-92","04205465","customer"
"dfsp2","cust170519-8-92","PT170519-8-92","04205465","customer","dfsp1","cust170519-8-91","PT170519-8-91","24045960","customer"
"dfsp1","cust170519-8-101","PT170519-8-101","52977910","customer","dfsp2","cust170519-8-102","PT170519-8-102","43150868","customer"
"dfsp2","cust170519-8-102","PT170519-8-102","43150868","customer","dfsp1","cust170519-8-101","PT170519-8-101","52977910","customer"
"dfsp1","cust170519-8-111","PT170519-8-111","03949020","customer","dfsp2","cust170519-8-112","PT170519-8-112","48020257","customer"
"dfsp2","cust170519-8-112","PT170519-8-112","48020257","customer","dfsp1","cust170519-8-111","PT170519-8-111","03949020","customer"
"dfsp1","cust170519-8-121","PT170519-8-121","94070814","customer","dfsp2","cust170519-8-122","PT170519-8-122","43683977","customer"
"dfsp2","cust170519-8-122","PT170519-8-122","43683977","customer","dfsp1","cust170519-8-121","PT170519-8-121","94070814","customer"
"dfsp1","cust170519-8-131","PT170519-8-131","22676003","customer","dfsp2","cust170519-8-132","PT170519-8-132","87657495","customer"
"dfsp2","cust170519-8-132","PT170519-8-132","87657495","customer","dfsp1","cust170519-8-131","PT170519-8-131","22676003","customer"
"dfsp1","cust170519-8-141","PT170519-8-141","65028714","customer","dfsp2","cust170519-8-142","PT170519-8-142","80443395","customer"
"dfsp2","cust170519-8-142","PT170519-8-142","80443395","customer","dfsp1","cust170519-8-141","PT170519-8-141","65028714","customer"
"dfsp1","cust170519-8-151","PT170519-8-151","99197455","customer","dfsp2","cust170519-8-152","PT170519-8-152","99755759","customer"
