"senderDFSP","senderName","senderUserNumber","senderAccountId","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverUserNumber","receiverAccountId","receiverRoleType","receiverUUID"
"dfsp1","cust170629-1-1-1","PT-cust170629-1-1-1","77793372","customer","1d8f6b9c-de5b-4f31-ab21-83424f0e70ce","dfsp2","cust170629-1-1-2","PT-cust170629-1-1-2","82663216","customer","dfdfd925-2104-4700-94a4-1a71b7c8ec96"
"dfsp2","cust170629-1-1-2","PT-cust170629-1-1-2","82663216","customer","6c306cb1-bf7a-4413-86ed-5c221517fde2","dfsp1","cust170629-1-1-1","PT-cust170629-1-1-1","77793372","customer","dbc59584-54f4-4378-b9c4-890bb3f9243c"
"dfsp1","cust170629-1-2-1","PT-cust170629-1-2-1","45609735","customer","9fb68b0b-5cf2-42b2-b58d-fddff2a0df36","dfsp2","cust170629-1-2-2","PT-cust170629-1-2-2","89708981","customer","4c5e9426-3a21-4e57-806a-7f9568d82351"
"dfsp2","cust170629-1-2-2","PT-cust170629-1-2-2","89708981","customer","9c643c74-2268-4656-baba-b104956a4e03","dfsp1","cust170629-1-2-1","PT-cust170629-1-2-1","45609735","customer","e559bfc2-c3ac-4477-885a-0165def68f4e"
"dfsp1","cust170629-1-3-1","PT-cust170629-1-3-1","22389294","customer","d1d3db8d-c64f-4fc0-8e1e-a71f5b8cb0b5","dfsp2","cust170629-1-3-2","PT-cust170629-1-3-2","07961374","customer","37adde43-987e-4fa2-9590-a9b78a061f72"
"dfsp2","cust170629-1-3-2","PT-cust170629-1-3-2","07961374","customer","aea154c4-9d99-41a5-9741-96791acd1808","dfsp1","cust170629-1-3-1","PT-cust170629-1-3-1","22389294","customer","9376f542-1ba9-4794-ac71-206f54dae7c9"
"dfsp1","cust170629-1-4-1","PT-cust170629-1-4-1","18108909","customer","ae645f09-8fee-4c04-b6c1-31a1738064be","dfsp2","cust170629-1-4-2","PT-cust170629-1-4-2","28039932","customer","ff70c77e-3edc-42dd-a849-33dceff6f57f"
"dfsp2","cust170629-1-4-2","PT-cust170629-1-4-2","28039932","customer","22dbf89c-adee-4cc8-b582-9677360cb7d2","dfsp1","cust170629-1-4-1","PT-cust170629-1-4-1","18108909","customer","8b516387-2e2b-4d49-a08a-e735a93fe72a"
"dfsp1","cust170629-1-5-1","PT-cust170629-1-5-1","17348763","customer","65a49df7-1b37-48e0-81c2-cd7d2c148425","dfsp2","cust170629-1-5-2","PT-cust170629-1-5-2","55582163","customer","01f3c062-4d78-4c64-ada1-b80fbbeb8c36"
"dfsp2","cust170629-1-5-2","PT-cust170629-1-5-2","55582163","customer","2900697d-85dd-41f1-89a2-099b72a7d778","dfsp1","cust170629-1-5-1","PT-cust170629-1-5-1","17348763","customer","57a328a0-1216-4af6-a577-57f1559e529b"
