"senderDFSP","senderName","senderUserNumber","senderAccountId","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverUserNumber","receiverAccountId","receiverRoleType","receiverUUID"
"dfsp1","cust170629-2-1-1","PT-cust170629-2-1-1","75414537","customer","4b06486a-a6ea-454f-b238-a040dd0f7ee5","dfsp2","cust170629-2-1-2","PT-cust170629-2-1-2","01984044","customer","66102a6a-da55-448c-b719-174f59fdf952"
"dfsp2","cust170629-2-1-2","PT-cust170629-2-1-2","01984044","customer","ab5eac0c-874b-45e5-9ae4-1e76acec17d3","dfsp1","cust170629-2-1-1","PT-cust170629-2-1-1","75414537","customer","fc76bae3-19be-4f57-b3d7-0cb2dc5de5ce"
"dfsp1","cust170629-2-2-1","PT-cust170629-2-2-1","65809209","customer","b817a80b-8d6b-4e05-9b7f-18e7c5c9d411","dfsp2","cust170629-2-2-2","PT-cust170629-2-2-2","42488013","customer","fc1fc830-7894-496a-80ee-3b3678cf8910"
"dfsp2","cust170629-2-2-2","PT-cust170629-2-2-2","42488013","customer","33907920-6805-410e-9575-4f85b526734c","dfsp1","cust170629-2-2-1","PT-cust170629-2-2-1","65809209","customer","ebc7a4e2-d2a1-49a1-94aa-436142587a7f"
"dfsp1","cust170629-2-3-1","PT-cust170629-2-3-1","25675502","customer","61f62064-7b46-4506-a86b-171d744bc2f2","dfsp2","cust170629-2-3-2","PT-cust170629-2-3-2","26681347","customer","c1614ec2-1989-4d08-a4bd-44216cc79ee1"
"dfsp2","cust170629-2-3-2","PT-cust170629-2-3-2","26681347","customer","1087b999-282e-4308-b2b7-70c2f9f88d7b","dfsp1","cust170629-2-3-1","PT-cust170629-2-3-1","25675502","customer","d78deb6f-9104-4a55-bf91-baa76f827416"
"dfsp1","cust170629-2-4-1","PT-cust170629-2-4-1","81363399","customer","f63dd331-3d77-49b1-900e-34238ed0aa4e","dfsp2","cust170629-2-4-2","PT-cust170629-2-4-2","04574576","customer","c2e639fd-6317-4160-aea1-da5a9303d724"
"dfsp2","cust170629-2-4-2","PT-cust170629-2-4-2","04574576","customer","995b1255-591b-4e42-a3c1-cf70cd3b8bb6","dfsp1","cust170629-2-4-1","PT-cust170629-2-4-1","81363399","customer","61d5cac3-21bb-478c-aad9-0556369669f0"
"dfsp1","cust170629-2-5-1","PT-cust170629-2-5-1","27586330","customer","919c8f33-80f0-44c0-8396-209eaaf01416","dfsp2","cust170629-2-5-2","PT-cust170629-2-5-2","18867677","customer","58cb7e52-a650-47d5-b392-781f459b10bb"
"dfsp2","cust170629-2-5-2","PT-cust170629-2-5-2","18867677","customer","b280ad0b-1251-4630-b9f3-f6e17aecd39e","dfsp1","cust170629-2-5-1","PT-cust170629-2-5-1","27586330","customer","7152f1f3-2134-404b-9305-3db6bafcd79e"
"dfsp1","cust170629-2-6-1","PT-cust170629-2-6-1","67030824","customer","0d688e36-550f-4fd3-a6c2-ed5e01deed65","dfsp2","cust170629-2-6-2","PT-cust170629-2-6-2","40070449","customer","e7ebb5a9-f206-46d5-84f8-ada34b79a4bf"
"dfsp2","cust170629-2-6-2","PT-cust170629-2-6-2","40070449","customer","51783f72-d30b-4816-bec1-51d306ce76a2","dfsp1","cust170629-2-6-1","PT-cust170629-2-6-1","67030824","customer","97338152-83a7-426a-9ff6-5bf2641a57c5"
"dfsp1","cust170629-2-7-1","PT-cust170629-2-7-1","80077743","customer","f302f0e8-d3a4-44d3-b292-e4c10488740e","dfsp2","cust170629-2-7-2","PT-cust170629-2-7-2","69779891","customer","45dab767-346c-4648-b3bb-e2960ddcdfcd"
"dfsp2","cust170629-2-7-2","PT-cust170629-2-7-2","69779891","customer","4e639cf8-d5e1-45e9-8c11-ddfaf518e53e","dfsp1","cust170629-2-7-1","PT-cust170629-2-7-1","80077743","customer","c4422888-8859-4d76-aa0e-47b446380b88"
"dfsp1","cust170629-2-8-1","PT-cust170629-2-8-1","21909788","customer","59ac2f03-6eef-4aea-9a6e-b57fd6288d74","dfsp2","cust170629-2-8-2","PT-cust170629-2-8-2","66258431","customer","a5cf6b05-d124-45b4-bafe-ddde8686bd4d"
"dfsp2","cust170629-2-8-2","PT-cust170629-2-8-2","66258431","customer","9d7260d8-74b9-416b-a738-2f52bd3b0233","dfsp1","cust170629-2-8-1","PT-cust170629-2-8-1","21909788","customer","866f0a1c-f6c8-4793-81a2-06c4b193079f"
