senderDFSP,senderName,senderUserNumber,senderAccountId,senderRoleType,senderUUID,receiverDFSP,receiverName,receiverUserNumber,receiverAccountId,receiverRoleType,receiverUUID
dfsp1,cust170603-1-01,PT170603-1-01,69685239,customer,b1d281da-bc3c-4411-84f5-035dbb8cc838,dfsp2,cust170603-1-02,PT170603-1-02,28599728,customer,d501db3b-2f28-4e01-9200-310ba7a66d16
dfsp1,cust170603-1-11,PT170603-1-11,1403999,customer,0fa85c9b-1729-466a-8d2d-3340a2f11983,dfsp2,cust170603-1-12,PT170603-1-12,95422390,customer,2ec3e878-8d6b-4d9d-8fee-befa5c56f04e
dfsp1,cust170603-1-21,PT170603-1-21,88795068,customer,48ab5f04-7f70-4ca5-b5cb-57fd324b54e0,dfsp2,cust170603-1-22,PT170603-1-22,74884137,customer,ef8ff2e8-9010-4e9e-9a6e-2a745f328a79
dfsp1,cust170603-1-31,PT170603-1-31,34159366,customer,ffac9e7e-3589-48a5-a6b2-8241b6776d79,dfsp2,cust170603-1-32,PT170603-1-32,13528567,customer,e5b68c0b-c06d-453c-bf17-66c43d83e040
dfsp1,cust170603-1-41,PT170603-1-41,73382218,customer,1e48688c-38a1-4d05-93d7-d08e9dfb8365,dfsp2,cust170603-1-42,PT170603-1-42,49868507,customer,650941d1-92ef-4246-881b-33e28bed5b1e
dfsp1,cust170603-1-51,PT170603-1-51,1359547,customer,d8a74463-2fb0-41b3-be72-06c003bad7cd,dfsp2,cust170603-1-52,PT170603-1-52,13748074,customer,c2e18c7a-0743-4cf9-8a07-dd87247629f3
dfsp1,cust170603-1-61,PT170603-1-61,66229210,customer,8c0aec4d-bfca-4d64-8d05-9c0232275029,dfsp2,cust170603-1-62,PT170603-1-62,66135945,customer,ce29f6c3-ba07-493a-b84b-e9afa35c7cbd
dfsp1,cust170603-1-71,PT170603-1-71,52869109,customer,bf63fd67-37a5-40e2-8a59-1d768e99f0c5,dfsp2,cust170603-1-72,PT170603-1-72,8939012,customer,c69eaa00-2169-4363-91a4-c73ba7e35fe5
dfsp1,cust170603-1-81,PT170603-1-81,74854323,customer,d08f3804-d6ff-4cc9-be37-7a221ce11f56,dfsp2,cust170603-1-82,PT170603-1-82,46571938,customer,962a111d-eb60-4e9c-be9d-d05332826e4e
dfsp1,cust170603-1-91,PT170603-1-91,43490073,customer,9a55cc74-55c2-48a1-8660-0578148015fb,dfsp2,cust170603-1-92,PT170603-1-92,58990849,customer,08fa7cd1-d948-43c9-ac32-d5b49390b1b5
