"senderDFSP","senderName","senderUserNumber","senderAccountId","senderRoleType","senderUUID","receiverDFSP","receiverName","receiverUserNumber","receiverAccountId","receiverRoleType","receiverUUID"
"dfsp1","cust170622-2-1-1","PT-cust170622-2-1-1","68114045","customer","cbb1aa95-1fb0-4bf9-a1c1-d8b0bf257767","dfsp2","cust170622-2-1-2","PT-cust170622-2-1-2","35472790","customer","782a1639-9abe-4290-806c-c509afdf13aa"
"dfsp2","cust170622-2-1-2","PT-cust170622-2-1-2","35472790","customer","5a1bd33e-97b6-47e2-a4b7-04d0e81b6e65","dfsp1","cust170622-2-1-1","PT-cust170622-2-1-1","68114045","customer","7719b0dc-7055-4557-b00b-755eec509ce7"
"dfsp1","cust170622-2-2-1","PT-cust170622-2-2-1","27098251","customer","b7fa213c-ac6d-41cc-ba77-5a225f5319ec","dfsp2","cust170622-2-2-2","PT-cust170622-2-2-2","94957789","customer","4b4ff738-8745-4122-813f-8d43e6a2e74d"
"dfsp2","cust170622-2-2-2","PT-cust170622-2-2-2","94957789","customer","3feea10a-ae59-4754-88bf-b3a79dc30ca8","dfsp1","cust170622-2-2-1","PT-cust170622-2-2-1","27098251","customer","d11d336c-1576-49d5-a625-5f4444d1d1da"
"dfsp1","cust170622-2-3-1","PT-cust170622-2-3-1","11154069","customer","1f01d28d-5d32-4ce7-a4b2-b3685441d3a4","dfsp2","cust170622-2-3-2","PT-cust170622-2-3-2","67806970","customer","bada6601-99c0-4842-b87d-800974357640"
"dfsp2","cust170622-2-3-2","PT-cust170622-2-3-2","67806970","customer","6bf93356-569d-46a8-a7fd-aba77cb9ec03","dfsp1","cust170622-2-3-1","PT-cust170622-2-3-1","11154069","customer","c0ebbc86-ea5d-4477-94ac-3cf7b91715a2"
"dfsp1","cust170622-2-4-1","PT-cust170622-2-4-1","16382534","customer","5b6998b6-5c08-40df-a17e-34d60ba05869","dfsp2","cust170622-2-4-2","PT-cust170622-2-4-2","23664925","customer","41e57712-e7bd-4cd3-b080-4426f9b83210"
"dfsp2","cust170622-2-4-2","PT-cust170622-2-4-2","23664925","customer","eba7f50c-3341-4e20-9b9d-73db394282a9","dfsp1","cust170622-2-4-1","PT-cust170622-2-4-1","16382534","customer","d1564c2c-c8a4-4880-a0a8-68c01270b990"
"dfsp1","cust170622-2-5-1","PT-cust170622-2-5-1","65618483","customer","228d7b51-d5ca-4733-aa96-289d3dfb39e5","dfsp2","cust170622-2-5-2","PT-cust170622-2-5-2","89720248","customer","8742ceae-c51b-487f-9764-17ca22640bda"
"dfsp2","cust170622-2-5-2","PT-cust170622-2-5-2","89720248","customer","d437032a-4124-4aab-9582-19e5873d09e5","dfsp1","cust170622-2-5-1","PT-cust170622-2-5-1","65618483","customer","ed4cf95b-16d7-4fac-aac4-311763ac0349"
"dfsp1","cust170622-2-6-1","PT-cust170622-2-6-1","95161491","customer","8f6b5be2-b533-456d-880a-5917cb3b4a4c","dfsp2","cust170622-2-6-2","PT-cust170622-2-6-2","88260762","customer","61aac506-5c72-4164-b7fb-072daa80b580"
"dfsp2","cust170622-2-6-2","PT-cust170622-2-6-2","88260762","customer","46da7e2e-aa75-4e1b-af5e-8bbec200fea4","dfsp1","cust170622-2-6-1","PT-cust170622-2-6-1","95161491","customer","b3ff44c9-a9d8-4034-b24f-5020b398372e"
